id,player_game_id,bird_name,habitat
430,48,Mountain Bluebird,Grasslands
431,48,American White Pelican,Wetlands
432,48,Red-Winged Blackbird,Wetlands
433,48,Yellow-Headed Blackbird,Wetlands
434,48,Hooded Merganser,Wetlands
435,48,Golden Eagle,Wetlands
436,49,Spotted Towhee,Forest
437,49,Juniper Titmouse,Forest
438,49,Pileated Woodpecker,Forest
439,49,American Redstart,Forest
440,49,Franklin's Gull,Grasslands
441,49,California Condor,Grasslands
442,49,House Finch,Wetlands
443,49,Great Egret,Wetlands
444,49,Black-Necked Stilt,Wetlands
445,49,Snowy Egret,Wetlands
446,49,Clark's Grebe,Wetlands
447,50,Bell's Vireo,Forest
448,50,European Honey Buzzard,Forest
449,50,Common Goldeneye,Forest
450,50,Common Raven,Grasslands
451,50,Gray Catbird,Grasslands
452,50,Scaled Quail,Grasslands
453,50,Eastern Phoebe,Wetlands
454,50,Hooded Merganser,Wetlands
455,50,Wood Stork,Wetlands
456,50,White-Faced Ibis,Wetlands
457,51,Eurasian Sparrowhawk,Forest
458,51,Turkey Vulture,Forest
459,51,Ruby-Throated Hummingbird,Forest
460,51,Steller's Jay,Forest
461,51,Carrion Crow,Grasslands
462,51,American Goldfinch,Grasslands
463,51,Eurasian Magpie,Grasslands
464,51,Chihuahuan Raven,Grasslands
465,51,Savi's Warbler,Wetlands
466,51,Common Little Bittern,Wetlands
467,51,Canvasback,Wetlands
468,52,Carolina Chickadee,Forest
469,52,Northern Goshawk,Forest
470,52,Montagu's Harrier,Grasslands
471,52,Eastern Imperial Eagle,Grasslands
472,52,Baird's Sparrow,Grasslands
473,52,Bobolink,Grasslands
474,52,Snowy Owl,Wetlands
475,52,Eurasian Hobby,Wetlands
476,52,Eleonora's Falcon,Wetlands
477,53,Eurasian Golden Oriole,Forest
478,53,Great Crested Flycatcher,Forest
479,53,Spotted Owl,Forest
480,53,European Turtle Dove,Grasslands
481,53,Scissor-Tailed Flycatcher,Grasslands
482,53,Ash-Throated Flycatcher,Grasslands
483,53,American Avocet,Wetlands
484,53,American Bittern,Wetlands
485,53,Brant,Wetlands
486,53,Roseate Spoonbill,Wetlands
487,53,Black-Crowned Night-Heron,Wetlands
488,54,Juniper Titmouse,Forest
489,54,Broad-Winged Hawk,Forest
490,54,Common Blackbird,Forest
491,54,Peregrine Falcon,Grasslands
492,54,California Condor,Grasslands
493,54,Hooded Crow,Grasslands
494,54,White-Throated Dipper,Wetlands
495,54,Northern Shoveler,Wetlands
496,54,Green Heron,Wetlands
497,55,Red-Headed Woodpecker,Forest
