team_game_id,game_id,team,toi,cf,ca,gf,ga,is_home,season
230,115,Los Angeles Kings,60,77,39,5,4,0,2324
231,116,Vancouver Canucks,60,70,35,5,0,1,2324
232,116,St Louis Blues,60,35,70,0,5,0,2324
233,117,Philadelphia Flyers,60,65,46,4,7,1,2324
234,117,Anaheim Ducks,60,46,65,7,4,0,2324
235,118,Florida Panthers,60,68,60,3,2,1,2324
236,118,Seattle Kraken,60,60,68,2,3,0,2324
237,119,Boston Bruins,60,57,60,4,1,1,2324
238,119,Detroit Red Wings,60,60,57,1,4,0,2324
239,120,Columbus Blue Jackets,60,69,74,0,2,1,2324
240,120,New York Islanders,60,74,69,2,0,0,2324
241,121,Montreal Canadiens,65,51,79,3,3,1,2324
242,121,Winnipeg Jets,65,79,51,3,3,0,2324
243,122,Nashville Predators,62.21666667,55,69,3,2,1,2324
244,122,Toronto Maple Leafs,62.21666667,69,55,2,3,0,2324
245,123,Pittsburgh Penguins,60,77,48,2,5,1,2324
246,123,Ottawa Senators,60,48,77,5,2,0,2324
247,124,Vancouver Canucks,63.8,69,52,3,4,1,2324
248,124,New York Rangers,63.8,52,69,4,3,0,2324
249,125,Los Angeles Kings,65,91,62,3,3,1,2324
250,125,Vegas Golden Knights,65,62,91,3,3,0,2324
251,126,Buffalo Sabres,60,45,63,4,0,1,2324
252,126,Colorado Avalanche,60,63,45,0,4,0,2324
253,127,New Jersey Devils,60,59,68,4,3,1,2324
254,127,Minnesota Wild,60,68,59,3,4,0,2324
255,128,Washington Capitals,60,77,61,3,1,1,2324
256,128,San Jose Sharks,60,61,77,1,3,0,2324
257,129,Edmonton Oilers,60,58,65,5,2,1,2324
258,129,Calgary Flames,60,65,58,2,5,0,2324
259,130,Boston Bruins,63.6,56,74,3,2,1,2324
260,130,Florida Panthers,63.6,74,56,2,3,0,2324
261,131,Philadelphia Flyers,60,51,52,2,3,1,2324
262,131,Carolina Hurricanes,60,52,51,3,2,0,2324
263,132,Pittsburgh Penguins,60,99,51,3,4,1,2324
264,132,Anaheim Ducks,60,51,99,4,3,0,2324
265,133,Tampa Bay Lightning,62.88333333,71,79,3,4,1,2324
266,133,Seattle Kraken,62.88333333,79,71,4,3,0,2324
