replay id;replay title;map;date;result;team name;opposing team name;player name;car id;car name;score;goals;assists;saves;shots;shots conceded;goals conceded;goals conceded while last defender;shooting percentage;bpm;avg boost amount;amount collected;amount collected big pads;amount collected small pads;count collected big pads;count collected small pads;amount stolen;amount stolen big pads;amount stolen small pads;count stolen big pads;count stolen small pads;0 boost time;100 boost time;amount used while supersonic;amount overfill total;amount overfill stolen;avg speed;total distance;time slow speed;percentage slow speed;time boost speed;percentage boost speed;time supersonic speed;percentage supersonic speed;time on ground;percentage on ground;time low in air;percentage low in air;time high in air;percentage high in air;time powerslide;avg powerslide time;count powerslide;time most back;percentage most back;time most forward;percentage most forward;time in front of ball;percentage in front of ball;time behind ball;percentage behind ball;time in front of ball;percentage in front of ball;time defensive half;percentage defensive half;time offensive half;percentage offensive half;time defensive third;percentage defensive third;time neutral third;percentage neutral third;time offensive third;percentage offensive third;avg distance to ball;avg distance to ball has possession;avg distance to ball no possession;avg distance to team mates;demos inflicted;demos taken
dac2c9ba-7c21-492f-899e-00803682a7ba;G2 RUST EZ;Mannfield (Night);2025-01-10 15:23:15;win;KARMINE CORP;SELECAO;Vatira;4284;Fennec;404;2;0;1;2;7;0;0;100;369;39.96;2014;1269;745;14;65;297;100;197;1;17;61.78;37.5;221;150;5;1532;483514;150.53;46.04;115.31;35.27;61.09;18.69;182.18;55.72;125.71;38.45;19.04;5.82;7.23;0.1;74;129;39.21;86.6;26.32;86.54;26.47;240.4;73.53;86.54;26.47;228.33;69.84;98.6;30.16;183.71;56.19;86.3;26.4;56.92;17.41;2878;2870;2909;3591;0;1
dac2c9ba-7c21-492f-899e-00803682a7ba;G2 RUST EZ;Mannfield (Night);2025-01-10 15:23:15;loss;SELECAO;KARMINE CORP;MayKinhoo;4284;Fennec;156;0;0;1;2;11;2;1;0;320;44.5;1798;1163;635;14;56;581;429;152;5;13;67.12;42.99;262;168;72;1532;483229;158.94;48.61;121.53;37.17;46.47;14.21;184.83;56.53;113.63;34.76;28.48;8.71;5.9;0.09;65;106.8;32.46;95.1;28.91;92.45;28.28;234.49;71.72;92.45;28.28;202.29;61.87;124.65;38.13;152.71;46.71;93.41;28.57;80.83;24.72;2756;2639;2804;3404;2;1
dac2c9ba-7c21-492f-899e-00803682a7ba;G2 RUST EZ;Mannfield (Night);2025-01-10 15:23:15;loss;SELECAO;KARMINE CORP;Ever. .;4284;Fennec;376;0;0;3;4;11;2;0;0;538;52.8;3007;2258;749;26;70;679;387;292;4;26;41.94;33.97;524;380;14;1652;526477;121.33;36.77;126.93;38.47;81.72;24.77;166.03;50.32;145.15;43.99;18.8;5.7;7.98;0.12;66;120.7;36.69;112.8;34.29;92.27;27.96;237.7;72.04;92.27;27.96;196.15;59.44;133.82;40.56;146.05;44.26;105.03;31.83;78.89;23.91;2653;2278;3015;3499;0;0
dac2c9ba-7c21-492f-899e-00803682a7ba;G2 RUST EZ;Mannfield (Night);2025-01-10 15:23:15;loss;SELECAO;KARMINE CORP;rust ez95;23;Octane;359;0;0;3;1;11;2;1;0;471;45.28;2610;1905;705;20;65;584;300;284;3;27;50.09;37.01;467;122;13;1615;509235;128.2;39.22;132.47;40.53;66.18;20.25;155.54;47.59;155.6;47.61;15.71;4.81;8.29;0.09;90;91.3;27.75;113.4;34.47;95.86;29.33;230.99;70.67;95.86;29.33;185.34;56.7;141.51;43.3;137.84;42.17;104.32;31.92;84.69;25.91;2436;2127;2678;3326;1;1
56503e0b-5f0a-44d7-9b17-736a6f293516;353;DFH Stadium;2025-01-10 15:29:11;win;SAVE THE GAME;GEEKAY ESPORTS;AztraL;23;Octane;276;0;1;2;1;8;1;0;0;398;45.32;2268;1652;616;19;56;466;285;181;3;17;33.19;50.26;376;276;23;1572;519516;146.93;42.54;137.15;39.71;61.31;17.75;179.53;51.98;140.69;40.73;25.17;7.29;7.81;0.11;69;125.6;35.78;125.6;35.78;93.07;26.95;252.32;73.05;93.07;26.95;238.13;68.95;107.26;31.05;178.98;51.82;106.07;30.71;60.34;17.47;2819;2682;2950;3295;0;2
56503e0b-5f0a-44d7-9b17-736a6f293516;353;DFH Stadium;2025-01-10 15:29:11;win;SAVE THE GAME;GEEKAY ESPORTS;Extra;4284;Fennec;510;2;0;2;5;8;1;1;40;442;53.12;2484;1854;630;21;58;401;180;221;2;20;37.92;29.34;354;242;27;1537;498166;151.55;44.67;130.03;38.33;57.7;17.01;194.71;57.39;121.54;35.82;23.04;6.79;7;0.11;61;103;29.34;111.9;31.88;88.64;26.13;250.64;73.87;88.64;26.13;223.19;65.78;116.09;34.22;165.15;48.68;112.11;33.04;62.03;18.28;2557;2289;2781;3296;0;4
56503e0b-5f0a-44d7-9b17-736a6f293516;353;DFH Stadium;2025-01-10 15:29:11;win;SAVE THE GAME;GEEKAY ESPORTS;mtzR.;4284;Fennec;274;0;1;1;0;8;1;0;0;311;42.66;1767;766;1001;10;80;518;296;222;3;19;42.87;25.73;143;259;9;1471;490240;180.16;51.72;122.37;35.13;45.83;13.16;186.41;53.51;136.9;39.3;25.06;7.19;5.62;0.11;49;119.4;34.02;101.7;28.97;84.52;24.26;263.84;75.74;84.52;24.26;237.41;68.15;110.95;31.85;180.77;51.89;103.54;29.72;64.05;18.39;2520;2465;2575;3081;3;1
56503e0b-5f0a-44d7-9b17-736a6f293516;353;DFH Stadium;2025-01-10 15:29:11;loss;GEEKAY ESPORTS;SAVE THE GAME;Archie;23;Octane;236;1;0;0;3;6;2;0;33.33;447;49.09;2600;2024;576;24;53;508;272;236;3;20;61.04;53.83;261;418;28;1580;531584;143.39;40.8;149.63;42.58;58.39;16.62;178.82;50.89;136.97;38.98;35.62;10.14;5.11;0.14;36;105.9;30.17;119.6;34.07;109.7;31.22;241.72;68.78;109.7;31.22;190.74;54.28;160.68;45.72;127.85;36.38;121.55;34.59;102.02;29.03;3034;2953;3149;3790;2;0
56503e0b-5f0a-44d7-9b17-736a6f293516;353;DFH Stadium;2025-01-10 15:29:11;loss;GEEKAY ESPORTS;SAVE THE GAME;oaly.;4284;Fennec;320;0;0;3;3;6;2;1;0;432;50.11;2536;1747;789;22;70;912;520;392;6;33;49.32;37.73;485;498;85;1637;550767;134.51;38.28;135.54;38.57;81.37;23.15;188.8;53.72;143.27;40.77;19.35;5.51;7.44;0.11;69;115;32.76;122.9;35.01;114.5;32.58;236.92;67.42;114.5;32.58;187.45;53.34;163.96;46.66;133.11;37.88;117.46;33.42;100.85;28.7;2600;2695;2487;3579;3;0
56503e0b-5f0a-44d7-9b17-736a6f293516;353;DFH Stadium;2025-01-10 15:29:11;loss;GEEKAY ESPORTS;SAVE THE GAME;Joyo;4284;Fennec;298;0;1;1;2;6;2;1;0;412;50.35;2360;1548;812;19;72;690;380;310;4;27;17.98;48.49;201;382;19;1550;507167;156.51;45.72;136.47;39.86;49.38;14.42;189.45;55.34;120.02;35.06;32.89;9.61;8.91;0.09;96;124.5;35.47;93.8;26.72;99.72;29.13;242.64;70.87;99.72;29.13;194.39;56.78;147.97;43.22;148.98;43.52;121.92;35.61;71.46;20.87;2743;2585;2925;3561;2;3
